TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,23.3,1.3,7,0.1,15,0,19:39:45,,
6.38E+13,22.7,0.7,7,0,15,0.3,19:39:46,,
6.38E+13,22.6,0.6,7,0,15,0.2,19:39:47,,
6.38E+13,25.4,3.4,7,0,15,0.2,19:39:48,,0.2
6.38E+13,28.2,6.2,7,0,15,0.3,19:39:49,,0.3
6.38E+13,23.3,1.3,7,0,15,0.2,19:39:50,,0.2
6.38E+13,22.2,0.2,7,0,15,0,19:39:51,,0
6.38E+13,22.3,0.3,7,0,15,0,19:39:52,,0
6.38E+13,23.7,1.7,7,0,15,0.3,19:39:54,,0.3
6.38E+13,23.4,1.4,7,0,15,0,19:39:55,,0
6.38E+13,22,0,7,0,15,0,19:39:56,,0
6.38E+13,23.4,1.4,7,0,15,0,19:39:57,,0
6.38E+13,22.3,0.3,7,0,15,0,19:39:58,,0
6.38E+13,23.2,1.2,7,0,15,0,19:39:59,,0
6.38E+13,22.6,0.6,7,0,15,0,19:40:00,,0
6.38E+13,22.3,0.3,7,0,15,0,19:40:01,,0
6.38E+13,22.3,0.3,7,0,15,0,19:40:02,,0
6.38E+13,22.5,0.5,7,0,15,0,19:40:04,,0
6.38E+13,22.7,0.6,7,0,15,0,19:40:05,,0
6.38E+13,22.7,0.7,7,0,15,0,19:40:06,,0
6.38E+13,23.3,1.3,7,0,15,0,19:40:07,,0
6.38E+13,22.7,0.7,7,0,15,0,19:40:08,,0
6.38E+13,22.2,0.2,7,0,15,0,19:40:09,,0
6.38E+13,22.6,0.6,7,0,15,0,19:40:10,,0
6.38E+13,22.5,0.5,7,0,15,0,19:40:11,,0
6.38E+13,22.8,0.8,7,0,15,0,19:40:13,,0
6.38E+13,22.6,0.6,7,0,15,0,19:40:14,,0.043478261
6.38E+13,22.4,0.4,7,0,15,0,19:40:15,,
6.38E+13,22.7,0.7,7,0,15,0,19:40:16,,
6.38E+13,22.6,0.6,7,0,15,0,19:40:17,,
6.38E+13,22.5,0.5,7,0,15,0,19:40:18,,
6.38E+13,22.7,0.7,7,0,15,0,19:40:19,,
6.38E+13,22.3,0.3,7,0,15,0,19:40:20,,
6.38E+13,23.1,1.1,7,0,15,0,19:40:21,,
6.38E+13,22,0,7,0,15,0,19:40:23,,
6.38E+13,22.3,0.3,7,0,15,0,19:40:24,,
6.38E+13,22.6,0.6,7,0,15,0,19:40:25,,
6.38E+13,22.8,0.8,7,0,15,0,19:40:26,,
6.38E+13,22.1,0.1,7,0,15,0,19:40:27,,
6.38E+13,22.5,0.5,7,0,15,0,19:40:28,,
6.38E+13,22.7,0.7,7,0,15,0,19:40:29,,
6.38E+13,22.7,0.7,7,0,15,0,19:40:30,,
6.38E+13,22.3,0.3,7,0,15,0,19:40:31,,
6.38E+13,22.8,0.8,7,0,15,0,19:40:33,,
6.38E+13,22,0,7,0,15,0,19:40:34,,
6.38E+13,23.1,1.1,7,0,15,0,19:40:35,,
6.38E+13,22.8,0.8,7,0,15,0,19:40:36,,
6.38E+13,22,0,7,0,15,0,19:40:37,,
6.38E+13,22.4,0.4,7,0,15,0,19:40:38,,
6.38E+13,22.7,0.7,7,0,15,0,19:40:39,,
6.38E+13,22.5,0.5,7,0,15,0,19:40:40,,
6.38E+13,22.7,0.7,7,0,15,0,19:40:41,,
6.38E+13,22.7,0.7,7,0,15,0,19:40:43,,
6.38E+13,22,0,7,0,15,0,19:40:44,,
6.38E+13,22.8,0.8,7,0,15,0,19:40:45,,
6.38E+13,22.5,0.5,7,0,15,0,19:40:46,,
6.38E+13,22.2,0.2,7,0,15,0,19:40:47,,
6.38E+13,22.5,0.5,7,0,15,0,19:40:48,,
6.38E+13,22.8,0.8,7,0,15,0,19:40:49,,
6.38E+13,24.8,2.8,7,0,15,0,19:40:50,,
6.38E+13,22.8,0.8,7,0,15,0,19:40:51,,
6.38E+13,22.1,0.1,7,0,15,0,19:40:53,,
6.38E+13,22.7,0.7,7,0,15,0,19:40:54,,
6.38E+13,22.5,0.5,7,0,15,0,19:40:55,,
6.38E+13,22.5,0.5,7,0,15,0,19:40:56,,
6.38E+13,22,0,7,0,15,0,19:40:57,,
