TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,,
6.38E+13,22.4,0.4,7,0,15,0.3,20:28:09,,,
6.38E+13,23.9,1.9,7,0,15,0.1,20:28:10,,,
6.38E+13,22.1,0.1,7,0,15,0.1,20:28:11,,,
6.38E+13,24.6,2.6,7,0,15,0.1,20:28:13,,,0.1
6.38E+13,26.4,4.4,7,0,15,0,20:28:14,,,0
6.38E+13,23.6,1.6,7,0,15,0.1,20:28:15,,,0.1
6.38E+13,22.4,0.4,7,0,15,0.1,20:28:16,,,0.1
6.38E+13,22.5,0.5,7,0,15,0,20:28:17,,,0
6.38E+13,22,0,7,0,15,0.1,20:28:18,,,0.1
6.38E+13,23,1,7,0,15,0,20:28:19,,,0
6.38E+13,23.7,1.7,7,0,15,0.6,20:28:20,,,0.6
6.38E+13,23.7,1.7,7,0,15,0,20:28:22,,,0
6.38E+13,23,1,7,0,15,0,20:28:23,,,0
6.38E+13,22,0,7,0,15,0,20:28:24,,,0
6.38E+13,23,1,7,0,15,0,20:28:25,,,0
6.38E+13,22.4,0.4,7,0,15,0,20:28:26,,,0
6.38E+13,22,0,7,0,15,0,20:28:27,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:28:28,,,0
6.38E+13,22.3,0.3,7,0,15,0,20:28:29,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:28:30,,,0
6.38E+13,22,0,7,0,15,0,20:28:31,,,0
6.38E+13,22.8,0.8,7,0,15,0,20:28:33,,,0
6.38E+13,22.5,0.5,7,0,15,0,20:28:34,,,0
6.38E+13,23.5,1.5,7,0,15,0,20:28:35,,,0
6.38E+13,22.7,0.7,7,0,15,0,20:28:36,,,0
6.38E+13,22.3,0.3,7,0,15,0.1,20:28:37,,,0.1
6.38E+13,22.2,0.2,7,0,15,0,20:28:38,,,0.047826087
6.38E+13,22.2,0.2,7,0,15,0,20:28:39,,,
6.38E+13,22.6,0.6,7,0,15,0,20:28:40,,,
6.38E+13,22.3,0.3,7,0,15,0.1,20:28:41,,,
6.38E+13,22.5,0.5,7,0,15,0,20:28:43,,,
6.38E+13,22.5,0.5,7,0,15,0,20:28:44,,,
6.38E+13,23,1,7,0,15,0,20:28:45,,,
6.38E+13,22.2,0.2,7,0,15,0,20:28:46,,,
6.38E+13,22.1,0.1,7,0,15,0,20:28:47,,,
6.38E+13,24.7,2.7,7,0,15,0,20:28:48,,,
6.38E+13,22.4,0.4,7,0,15,0,20:28:49,,,
6.38E+13,22.7,0.7,7,0,15,0,20:28:50,,,
6.38E+13,22.2,0.2,7,0,15,0,20:28:51,,,
6.38E+13,22.3,0.3,7,0,15,0,20:28:52,,,
6.38E+13,22.5,0.5,7,0,15,0,20:28:54,,,
6.38E+13,22.5,0.5,7,0,15,0,20:28:55,,,
6.38E+13,22.1,0.1,7,0,15,0,20:28:56,,,
6.38E+13,22.6,0.6,7,0,15,0,20:28:57,,,
6.38E+13,22.4,0.4,7,0,15,0,20:28:58,,,
6.38E+13,22.5,0.5,7,0,15,0,20:28:59,,,
6.38E+13,23,1,7,0,15,0,20:29:00,,,
6.38E+13,23.1,1,7,0,15,0,20:29:01,,,
6.38E+13,22.3,0.3,7,0,15,0,20:29:02,,,
6.38E+13,22.3,0.3,7,0,15,0,20:29:04,,,
6.38E+13,22.8,0.8,7,0,15,0,20:29:05,,,
6.38E+13,22.3,0.3,7,0,15,0,20:29:06,,,
6.38E+13,22.7,0.7,7,0,15,0,20:29:07,,,
6.38E+13,24.4,2.4,7,0,15,0,20:29:08,,,
