TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.9,0.9,7,0,15,0.5,15:16:55,,
6.38E+13,22.8,0.8,7,0,15,0.1,15:16:56,,
6.38E+13,23.3,1.3,7,0,15,0.4,15:16:57,,
6.38E+13,24.4,2.4,7,0,15,0.2,15:16:58,,0.2
6.38E+13,25.3,3.3,7,0,15,0.1,15:16:59,,0.1
6.38E+13,23.8,1.8,7,0,15,0.1,15:17:00,,0.1
6.38E+13,23,1,7,0,15,0.1,15:17:01,,0.1
6.38E+13,23.1,1.1,7,0,15,0.2,15:17:02,,0.2
6.38E+13,23.7,1.7,7,0,15,0,15:17:03,,0
6.38E+13,23.5,1.5,7,0,15,0.6,15:17:05,,0.6
6.38E+13,22.9,0.9,7,0,15,0,15:17:06,,0
6.38E+13,23,1,7,0,15,0,15:17:07,,0
6.38E+13,22.5,0.5,7,0,15,0,15:17:08,,0
6.38E+13,22.3,0.3,7,0,15,0,15:17:09,,0
6.38E+13,22.7,0.7,7,0,15,0,15:17:10,,0
6.38E+13,22.3,0.3,7,0,15,0,15:17:11,,0
6.38E+13,22.6,0.6,7,0,15,0,15:17:12,,0
6.38E+13,22.3,0.2,7,0,15,0,15:17:13,,0
6.38E+13,23.6,1.6,7,0,15,0,15:17:15,,0
6.38E+13,22.3,0.3,7,0,15,0,15:17:16,,0
6.38E+13,22.9,0.9,7,0,15,0,15:17:17,,0
6.38E+13,22,0,7,0,15,0,15:17:18,,0
6.38E+13,22.8,0.8,7,0,15,0,15:17:19,,0
6.38E+13,23.5,1.5,7,0,15,0,15:17:20,,0
6.38E+13,22,0,7,0,15,0,15:17:21,,0
6.38E+13,22.2,0.2,7,0,15,0,15:17:22,,0
6.38E+13,22,0,7,0,15,0,15:17:23,,0.056521739
6.38E+13,22.8,0.8,7,0,15,0,15:17:24,,
6.38E+13,22.6,0.6,7,0,15,0,15:17:26,,
6.38E+13,22.2,0.2,7,0,15,0,15:17:27,,
6.38E+13,22.5,0.5,7,0,15,0,15:17:28,,
6.38E+13,22.1,0.1,7,0,15,0,15:17:29,,
6.38E+13,23.2,1.2,7,0,15,0.5,15:17:30,,
6.38E+13,22.3,0.3,7,0,15,0,15:17:31,,
6.38E+13,22.2,0.2,7,0,15,0,15:17:32,,
6.38E+13,22.4,0.4,7,0,15,0,15:17:33,,
