TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,,
6.38E+13,23,1,7,0,15,0.1,15:55:27,,,
6.38E+13,23.4,1.4,7,0,15,0.2,15:55:28,,,
6.38E+13,23.8,1.8,7,0,15,0,15:55:30,,,0
6.38E+13,26.3,4.3,7,0,15,0.1,15:55:31,,,0.1
6.38E+13,24.1,2.1,7,0,15,0.2,15:55:32,,,0.2
6.38E+13,22.8,0.8,7,0,15,0,15:55:33,,,0
6.38E+13,22.4,0.4,7,0,15,0.1,15:55:34,,,0.1
6.38E+13,23.9,1.9,7,0,15,0.3,15:55:35,,,0.3
6.38E+13,23,1,7,0,15,0.1,15:55:36,,,0.1
6.38E+13,22.2,0.2,7,0,15,0,15:55:37,,,0
6.38E+13,22.8,0.8,7,0,15,0,15:55:38,,,0
6.38E+13,24.8,2.7,7,0,15,0,15:55:40,,,0
6.38E+13,23.2,1.2,7,0,15,0,15:55:41,,,0
6.38E+13,22.4,0.4,7,0,15,0,15:55:42,,,0
6.38E+13,22.5,0.5,7,0,15,0,15:55:43,,,0
6.38E+13,22.1,0.1,7,0,15,0,15:55:44,,,0
6.38E+13,22.3,0.3,7,0,15,0,15:55:45,,,0
6.38E+13,22.6,0.6,7,0,15,0,15:55:46,,,0
6.38E+13,22.5,0.5,7,0,15,0,15:55:47,,,0
6.38E+13,22.4,0.4,7,0,15,0,15:55:48,,,0
6.38E+13,22,0,7,0,15,0,15:55:49,,,0
6.38E+13,23.4,1.4,7,0,15,0,15:55:51,,,0
6.38E+13,22.3,0.3,7,0,15,0,15:55:52,,,0
6.38E+13,22.2,0.2,7,0,15,0,15:55:53,,,0
6.38E+13,22.5,0.5,7,0,15,0,15:55:54,,,0
6.38E+13,22.5,0.5,7,0,15,0,15:55:55,,,0.034782609
6.38E+13,22.1,0.1,7,0,15,0,15:55:56,,,
6.38E+13,22.5,0.5,7,0,15,0,15:55:57,,,
6.38E+13,22.6,0.6,7,0,15,0,15:55:58,,,
6.38E+13,22.2,0.2,7,0,15,0,15:55:59,,,
6.38E+13,22.5,0.5,7,0,15,0,15:56:00,,,
6.38E+13,22.5,0.5,7,0,15,0,15:56:01,,,
6.38E+13,22.3,0.3,7,0,15,0,15:56:03,,,
6.38E+13,22.5,0.5,7,0,15,0,15:56:04,,,
6.38E+13,22.2,0.2,7,0,15,0,15:56:05,,,
6.38E+13,22.6,0.6,7,0,15,0,15:56:06,,,
6.38E+13,22.3,0.3,7,0,15,0,15:56:07,,,
6.38E+13,22.3,0.3,7,0,15,0,15:56:08,,,
6.38E+13,22.3,0.3,7,0,15,0,15:56:09,,,
6.38E+13,23,1,7,0,15,0,15:56:10,,,
6.38E+13,22.4,0.4,7,0,15,0,15:56:11,,,
