TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,22.9,0.8,7,0,15,0.3,20:57:54,,
6.38E+13,24.1,2.1,7,0,15,0.2,20:57:55,,
6.38E+13,22.2,0.2,7,0,15,0.1,20:57:56,,
6.38E+13,26.1,4.1,7,0,15,0.3,20:57:57,,
6.38E+13,25.9,3.9,7,0,15,0.1,20:57:58,,0.1
6.38E+13,24,2,7,0,15,0,20:57:59,,0
6.38E+13,22.9,0.9,7,0,15,0.1,20:58:01,,0.1
6.38E+13,22.3,0.3,7,0,15,0,20:58:02,,0
6.38E+13,22.3,0.3,7,0,15,0.1,20:58:03,,0.1
6.38E+13,23.2,1.2,7,0,15,0.1,20:58:04,,0.1
6.38E+13,23.7,1.7,7,0,15,0.3,20:58:05,,0.3
6.38E+13,23.3,1.3,7,0,15,0,20:58:06,,0
6.38E+13,22.9,0.9,7,0,15,0,20:58:07,,0
6.38E+13,22.2,0.2,7,0,15,0,20:58:09,,0
6.38E+13,22.2,0.2,7,0,15,0,20:58:10,,0
6.38E+13,22.8,0.8,7,0,15,0,20:58:11,,0
6.38E+13,22,0,7,0,15,0,20:58:12,,0
6.38E+13,22.4,0.4,7,0,15,0,20:58:13,,0
6.38E+13,22.8,0.8,7,0,15,0,20:58:14,,0
6.38E+13,22.6,0.6,7,0,15,0,20:58:15,,0
6.38E+13,22.2,0.2,7,0,15,0,20:58:16,,0
6.38E+13,22.7,0.7,7,0,15,0,20:58:17,,0
6.38E+13,22.2,0.2,7,0,15,0,20:58:19,,0
6.38E+13,23.2,1.2,7,0,15,0,20:58:20,,0
6.38E+13,22.3,0.3,7,0,15,0,20:58:21,,0
6.38E+13,22.9,0.9,7,0,15,0,20:58:22,,0
6.38E+13,22,0,7,0,15,0,20:58:23,,0
6.38E+13,22.7,0.7,7,0,15,0,20:58:24,,0.030434783
6.38E+13,22.5,0.5,7,0,15,0,20:58:25,,
6.38E+13,22.6,0.6,7,0,15,0,20:58:26,,
6.38E+13,22.5,0.5,7,0,15,0,20:58:27,,
6.38E+13,22,0,7,0,15,0,20:58:29,,
6.38E+13,22.8,0.8,7,0,15,0,20:58:30,,
6.38E+13,22.1,0.1,7,0,15,0,20:58:31,,
6.38E+13,22,0,7,0,15,0,20:58:32,,
6.38E+13,22.4,0.4,7,0,15,0,20:58:33,,
6.38E+13,23.2,1.2,7,0,15,0,20:58:34,,
6.38E+13,22.2,0.2,7,0,15,0,20:58:35,,
6.38E+13,22.1,0.1,7,0,15,0,20:58:36,,
6.38E+13,22.6,0.6,7,0,15,0,20:58:37,,
6.38E+13,22.3,0.3,7,0,15,0,20:58:39,,
6.38E+13,22.4,0.4,7,0,15,0,20:58:40,,
6.38E+13,22.7,0.7,7,0,15,0,20:58:41,,
6.38E+13,22.6,0.6,7,0,15,0,20:58:42,,
6.38E+13,22,0,7,0,15,0,20:58:43,,
6.38E+13,22.9,0.9,7,0,15,0,20:58:44,,
6.38E+13,22.2,0.2,7,0,15,0,20:58:45,,
6.38E+13,22.4,0.4,7,0,15,0,20:58:46,,
6.38E+13,22.5,0.5,7,0,15,0,20:58:47,,
6.38E+13,22.6,0.6,7,0,15,0,20:58:49,,
6.38E+13,22,0,7,0,15,0,20:58:50,,
6.38E+13,22.9,0.9,7,0,15,0,20:58:51,,
6.38E+13,22,0,7,0,15,0,20:58:52,,
6.38E+13,22.6,0.6,7,0,15,0,20:58:53,,
6.38E+13,22.4,0.4,7,0,15,0,20:58:54,,
6.38E+13,22.6,0.6,7,0,15,0,20:58:55,,
6.38E+13,22.3,0.3,7,0,15,0,20:58:56,,
6.38E+13,22.7,0.7,7,0,15,0,20:58:57,,
