TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,
6.38E+13,24.2,2.2,7,0,15,0,16:17:23,,
6.38E+13,24.9,2.9,7,0.1,15,0.1,16:17:24,,
6.38E+13,23.1,1.1,7,0,15,0.5,16:17:25,,
6.38E+13,24.9,2.9,7,0,15,0.3,16:17:26,,
6.38E+13,26.4,4.4,7,0,15,0.1,16:17:27,,
6.38E+13,26.8,4.8,7,0,15,0.1,16:17:29,,
6.38E+13,26.6,4.6,7,0,15,0,16:17:30,,0
6.38E+13,24.9,2.9,7,0,15,0,16:17:31,,0
6.38E+13,23.4,1.3,7,0,15,0,16:17:32,,0
6.38E+13,22,0,7,0,15,0,16:17:33,,0
6.38E+13,22.8,0.8,7,0,15,0,16:17:34,,0
6.38E+13,22.2,0.2,7,0,15,0,16:17:35,,0
6.38E+13,25.5,3.5,7,0,15,0.4,16:17:36,,0.4
6.38E+13,22.8,0.8,7,0,15,0,16:17:37,,0
6.38E+13,22.6,0.6,7,0,15,0,16:17:39,,0
6.38E+13,23,1,7,0,15,0,16:17:40,,0
6.38E+13,22.4,0.4,7,0,15,0.1,16:17:41,,0.1
6.38E+13,22.6,0.6,7,0,15,0,16:17:42,,0
6.38E+13,22.9,0.9,7,0,15,0,16:17:43,,0
6.38E+13,23.1,1.1,7,0,15,0,16:17:44,,0
6.38E+13,24.3,2.3,7,0,15,0,16:17:45,,0
6.38E+13,22.9,0.9,7,0,15,0,16:17:46,,0
6.38E+13,22.3,0.3,7,0,15,0,16:17:47,,0
6.38E+13,22.4,0.4,7,0,15,0,16:17:48,,0
6.38E+13,22.5,0.5,7,0,15,0,16:17:50,,0
6.38E+13,22.1,0.1,7,0,15,0,16:17:51,,0
6.38E+13,23.3,1.3,7,0,15,0,16:17:52,,0
6.38E+13,22,0,7,0,15,0,16:17:53,,0
6.38E+13,22.5,0.5,7,0,15,0,16:17:54,,0
6.38E+13,22.5,0.5,7,0,15,0,16:17:55,,0.02173913
6.38E+13,22.1,0.1,7,0,15,0,16:17:56,,
6.38E+13,22.8,0.8,7,0,15,0,16:17:57,,
6.38E+13,22,0,7,0,15,0,16:17:58,,
6.38E+13,22.6,0.6,7,0,15,0,16:17:59,,
6.38E+13,22.7,0.7,7,0,15,0,16:18:01,,
6.38E+13,22.7,0.6,7,0,15,0,16:18:02,,
6.38E+13,22,0,7,0,15,0,16:18:03,,
6.38E+13,22,0,7,0,15,0,16:18:04,,
6.38E+13,22.9,0.9,7,0,15,0,16:18:05,,
6.38E+13,22.5,0.5,7,0,15,0,16:18:06,,
6.38E+13,22.5,0.4,7,0,15,0,16:18:07,,
6.38E+13,22,0,7,0,15,0,16:18:08,,
6.38E+13,22,0,7,0,15,0,16:18:09,,
6.38E+13,23.3,1.3,7,0,15,0,16:18:10,,
6.38E+13,22.2,0.2,7,0,15,0,16:18:12,,
6.38E+13,22.5,0.5,7,0,15,0,16:18:13,,
6.38E+13,22.5,0.5,7,0,15,0,16:18:14,,
6.38E+13,22,0,7,0,15,0,16:18:15,,
6.38E+13,22.9,0.9,7,0,15,0,16:18:16,,
6.38E+13,22.7,0.7,7,0,15,0,16:18:17,,
6.38E+13,22.6,0.6,7,0,15,0,16:18:18,,
