TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),time,,,
6.38E+13,25.3,3.3,7,0,15,0,16:19:44,,,
6.38E+13,23.5,1.5,7,0,15,0.2,16:19:45,,,
6.38E+13,24.1,2.1,7,0,15,0.2,16:19:47,,,
6.38E+13,26.9,4.9,7,0,15,0.7,16:19:48,,,
6.38E+13,25.9,3.9,7,0,15,0,16:19:49,,,
6.38E+13,26.2,4.2,7,0,15,0,16:19:50,,,0
6.38E+13,24.9,2.9,7,0,15,0.1,16:19:51,,,0.1
6.38E+13,23.2,1.2,7,0,15,0,16:19:52,,,0
6.38E+13,22,0,7,0,15,0.1,16:19:53,,,0.1
6.38E+13,22.6,0.6,7,0,15,0,16:19:54,,,0
6.38E+13,23.5,1.5,7,0,15,0.5,16:19:56,,,0.5
6.38E+13,23.5,1.5,7,0,15,0.1,16:19:57,,,0.1
6.38E+13,22.6,0.6,7,0,15,0,16:19:58,,,0
6.38E+13,22.5,0.5,7,0,15,0.1,16:19:59,,,0.1
6.38E+13,22.4,0.4,7,0,15,0,16:20:00,,,0
6.38E+13,22.6,0.6,7,0,15,0,16:20:01,,,0
6.38E+13,22.4,0.4,7,0,15,0,16:20:02,,,0
6.38E+13,22.1,0,7,0,15,0,16:20:03,,,0
6.38E+13,22.9,0.9,7,0,15,0,16:20:04,,,0
6.38E+13,23.2,1.2,7,0,15,0,16:20:05,,,0
6.38E+13,22,0,7,0,15,0,16:20:06,,,0
6.38E+13,22,0,7,0,15,0,16:20:08,,,0
6.38E+13,22.3,0.3,7,0,15,0,16:20:09,,,0
6.38E+13,22.3,0.3,7,0,15,0,16:20:10,,,0
6.38E+13,23,1,7,0,15,0,16:20:11,,,0
6.38E+13,22.3,0.3,7,0,15,0,16:20:12,,,0
6.38E+13,22.3,0.3,7,0,15,0,16:20:13,,,0
6.38E+13,23.1,1.1,7,0,15,0,16:20:14,,,0
6.38E+13,23.1,1.1,7,0,15,0,16:20:15,,,0.039130435
6.38E+13,23.1,1.1,7,0,15,0,16:20:16,,,
6.38E+13,23.4,1.3,7,0,15,0,16:20:17,,,
6.38E+13,22.5,0.5,7,0,15,0,16:20:19,,,
6.38E+13,22.5,0.5,7,0,15,0,16:20:20,,,
6.38E+13,22,0,7,0,15,0,16:20:21,,,
6.38E+13,22.9,0.9,7,0,15,0,16:20:22,,,
6.38E+13,22.2,0.2,7,0,15,0,16:20:23,,,
6.38E+13,22.4,0.4,7,0,15,0,16:20:24,,,
6.38E+13,22.4,0.4,7,0,15,0,16:20:25,,,
6.38E+13,22.3,0.3,7,0,15,0,16:20:26,,,
6.38E+13,22.7,0.7,7,0,15,0,16:20:27,,,
6.38E+13,22,0,7,0,15,0,16:20:28,,,
6.38E+13,22.8,0.8,7,0,15,0,16:20:30,,,
6.38E+13,22.8,0.8,7,0,15,0,16:20:31,,,
6.38E+13,22,0,7,0,15,0,16:20:32,,,
6.38E+13,22.4,0.4,7,0,15,0,16:20:33,,,
6.38E+13,22.7,0.7,7,0,15,0,16:20:34,,,
6.38E+13,22,0,7,0,15,0,16:20:35,,,
6.38E+13,22.6,0.6,7,0,15,0,16:20:36,,,
